time,event
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.242,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.243,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.244,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.245,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.246,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.247,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.248,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.249,counterexample
0.25,counterexample
0.25,counterexample
0.25,counterexample
0.25,counterexample
0.25,counterexample
0.25,counterexample
0.25,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.251,counterexample
0.252,counterexample
0.252,counterexample
0.252,counterexample
0.252,counterexample
0.252,counterexample
0.252,counterexample
0.252,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.253,counterexample
0.254,counterexample
0.254,counterexample
0.254,counterexample
0.254,counterexample
0.255,counterexample
0.256,counterexample
0.256,counterexample
0.256,counterexample
0.256,counterexample
0.256,counterexample
0.257,counterexample
0.257,counterexample
0.257,counterexample
0.257,counterexample
0.258,counterexample
0.258,counterexample
0.258,counterexample
0.258,counterexample
0.259,counterexample
0.259,counterexample
0.259,counterexample
0.259,counterexample
0.259,counterexample
0.26,counterexample
0.26,counterexample
0.26,counterexample
0.26,counterexample
0.26,counterexample
0.26,counterexample
0.26,counterexample
0.261,counterexample
0.262,counterexample
0.262,counterexample
0.262,counterexample
0.262,counterexample
0.263,counterexample
0.263,counterexample
0.263,counterexample
0.263,counterexample
0.263,counterexample
0.264,counterexample
0.264,counterexample
0.264,counterexample
0.264,counterexample
0.265,counterexample
0.265,counterexample
0.265,counterexample
0.266,counterexample
0.266,counterexample
0.269,counterexample
0.27,counterexample
0.27,counterexample
0.271,counterexample
0.272,counterexample
0.272,counterexample
0.272,counterexample
0.272,counterexample
0.273,counterexample
0.273,counterexample
0.274,counterexample
0.274,counterexample
0.274,counterexample
0.274,counterexample
0.274,counterexample
0.274,counterexample
0.274,counterexample
0.275,counterexample
0.275,counterexample
0.275,counterexample
0.275,counterexample
0.275,counterexample
0.276,counterexample
0.276,counterexample
0.276,counterexample
0.276,counterexample
0.276,counterexample
0.276,counterexample
0.277,counterexample
0.277,counterexample
0.277,counterexample
0.277,counterexample
0.277,counterexample
0.277,counterexample
0.278,counterexample
0.278,counterexample
0.278,counterexample
0.278,counterexample
0.278,counterexample
0.278,counterexample
0.278,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.279,counterexample
0.28,counterexample
0.28,counterexample
0.28,counterexample
0.28,counterexample
0.28,counterexample
0.281,counterexample
0.281,counterexample
0.281,counterexample
0.281,counterexample
0.282,counterexample
0.282,counterexample
0.282,counterexample
0.282,counterexample
0.282,counterexample
0.282,counterexample
0.283,counterexample
0.283,counterexample
0.283,counterexample
0.283,counterexample
0.283,counterexample
0.283,counterexample
